id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
1,Sodium Hyaluronate Plus,Sodium Hyaluronate,Statin,Glenmark,Eye Drops,10mg,Sodium Hyaluronate Plus 10mg Eye Drops is a lubricant used in the management of various conditions. Manufactured by Glenmark. Each eye drops contains 10mg of active ingredient.,Lubricant,No,Store below 25°C
2,Amitriptyline XR,Amitriptyline XR,Oncology,Aristo Pharma,Tablet,100mg,Amitriptyline XR 100mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 100mg of active ingredient.,TCA Antidepressant,Yes,Refrigerate 2-8°C
3,Levofloxacin Extended Release,Levofloxacin,Bronchodilator,IPCA Labs,Tablet,250mg,Levofloxacin Extended Release 250mg Tablet is a antibiotic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 250mg of active ingredient.,Antibiotic,Yes,Store in dry place
4,Aspirin Junior,Aspirin Junior,Antihypertensive,Alkem Labs,Tablet,20mg,Aspirin Junior 20mg Tablet is a nsaid/antiplatelet used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 20mg of active ingredient.,NSAID/Antiplatelet,Yes,Store below 25°C
5,Omega-3 Fatty Acids,Omega-3 Fatty Acids,Urological,Micro Labs,Capsule,1000mg,Omega-3 Fatty Acids 1000mg Capsule is a supplement used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 1000mg of active ingredient.,Supplement,Yes,Refrigerate 2-8°C
6,Mebendazole Plus,Mebendazole,Cardiac,Zydus Cadila,Tablet,10mg,Mebendazole Plus 10mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 10mg of active ingredient.,Anthelmintic,Yes,Store away from light
7,Prednisolone SR,Prednisolone SR,Antimalarial,Dr. Reddy's,Tablet,500mg,Prednisolone SR 500mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 500mg of active ingredient.,Corticosteroid,Yes,Store in dry place
8,Duloxetine,Duloxetine,Antihypertensive,IPCA Labs,Capsule,60mg,Duloxetine 60mg Capsule is a snri antidepressant used in the management of various conditions. Manufactured by IPCA Labs. Each capsule contains 60mg of active ingredient.,SNRI Antidepressant,Yes,Store below 25°C
9,Voriconazole Dispersible,Voriconazole Dispersible,Proton Pump Inhibitor,Torrent Pharma,Tablet,500mg,Voriconazole Dispersible 500mg Tablet is a antifungal used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 500mg of active ingredient.,Antifungal,Yes,Store in dry place
10,Methylprednisolone,Methylprednisolone,Dermatological,Dabur Pharma,Injection,40mg,Methylprednisolone 40mg Injection is a corticosteroid used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 40mg of active ingredient.,Corticosteroid,No,Store away from light
11,Calcium Carbonate,Calcium Carbonate,Hormonal,Torrent Pharma,Tablet,500mg,Calcium Carbonate 500mg Tablet is a calcium supplement used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 500mg of active ingredient.,Calcium Supplement,Yes,Refrigerate 2-8°C
12,Levetiracetam,Levetiracetam,Vitamin/Supplement,Dabur Pharma,Tablet,500mg,Levetiracetam 500mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 500mg of active ingredient.,Antiepileptic,No,Refrigerate 2-8°C
13,Nifedipine IV,Nifedipine IV,Antifungal,Sun Pharma,Tablet,10mg,Nifedipine IV 10mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 10mg of active ingredient.,Calcium Channel Blocker,Yes,Refrigerate 2-8°C
14,Sertraline XR,Sertraline XR,Corticosteroid,Aristo Pharma,Tablet,50mg,Sertraline XR 50mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,SSRI Antidepressant,Yes,Store in dry place
15,Methotrexate SR,Methotrexate SR,Urological,Sun Pharma,Tablet,100mg,Methotrexate SR 100mg Tablet is a dmard/immunosuppressant used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,DMARD/Immunosuppressant,Yes,Store in dry place
16,Phenytoin XR,Phenytoin XR,Proton Pump Inhibitor,Lupin,Capsule,1g,Phenytoin XR 1g Capsule is a antiepileptic used in the management of various conditions. Manufactured by Lupin. Each capsule contains 1g of active ingredient.,Antiepileptic,No,Store away from light
17,Ticagrelor XR,Ticagrelor XR,Antibiotic,Aurobindo Pharma,Tablet,20mg,Ticagrelor XR 20mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 20mg of active ingredient.,Antiplatelet,No,Store in dry place
18,Montelukast,Montelukast,Antibiotic,Dr. Reddy's,Tablet,10mg,Montelukast 10mg Tablet is a leukotriene receptor antagonist used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 10mg of active ingredient.,Leukotriene Receptor Antagonist,No,Store away from light
19,Sertraline Plus,Sertraline,Corticosteroid,Himalaya,Tablet,100mg,Sertraline Plus 100mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 100mg of active ingredient.,SSRI Antidepressant,Yes,Store below 25°C
20,Clarithromycin Dispersible,Clarithromycin Dispersible,Antidiabetic,Elder Pharma,Tablet,100mg,Clarithromycin Dispersible 100mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 100mg of active ingredient.,Antibiotic,No,Store away from light
21,Dopamine Plus,Dopamine,Hormonal,Dr. Reddy's,Injection,1g,Dopamine Plus 1g Injection is a vasopressor used in the management of various conditions. Manufactured by Dr. Reddy's. Each injection contains 1g of active ingredient.,Vasopressor,Yes,Store away from light
22,Isosorbide Mononitrate Sustained Release,Isosorbide Mononitrate,Statin,Johnson & Johnson,Tablet,1g,Isosorbide Mononitrate Sustained Release 1g Tablet is a nitrate used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 1g of active ingredient.,Nitrate,No,Store in dry place
23,Vitamin B12 XR,Vitamin B12 XR,Antipsychotic,Alkem Labs,Injection,25mg,Vitamin B12 XR 25mg Injection is a vitamin used in the management of various conditions. Manufactured by Alkem Labs. Each injection contains 25mg of active ingredient.,Vitamin,Yes,Store in dry place
24,Ivermectin Extended Release,Ivermectin,Antimalarial,IPCA Labs,Tablet,100mg,Ivermectin Extended Release 100mg Tablet is a antiparasitic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 100mg of active ingredient.,Antiparasitic,Yes,Refrigerate 2-8°C
25,Celecoxib Plus,Celecoxib,Proton Pump Inhibitor,Dr. Reddy's,Capsule,50mg,Celecoxib Plus 50mg Capsule is a cox-2 inhibitor used in the management of various conditions. Manufactured by Dr. Reddy's. Each capsule contains 50mg of active ingredient.,COX-2 Inhibitor,No,Store below 25°C
