id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
1,SGOT/AST,Biochemistry,Blood (Plain),Liver and muscle enzyme marker,48 hours,No,Lab-specific,Basic
2,GGT (Gamma-GT),Biochemistry,Blood (Plain),Sensitive liver enzyme for alcohol and biliary disease,Same day,8 hours,Age/sex dependent,Advanced
3,Conventional Vitamin D (25-OH),Biochemistry,Blood (Plain),conventional method of Measures vitamin D status,4 hours,No,Age/sex dependent,Specialized
4,Fluorescent Bronchoscopy,Endoscopy,—,fluorescent method of Airway visualization and bronchial biopsy,6 hours,8 hours,Age/sex dependent,Advanced
5,Quantitative X-Ray Abdomen (Erect),Radiology,—,"quantitative method of Evaluates bowel obstruction, perforation",2 hours,8 hours,Standardized,Basic
6,Advanced COVID-19 RT-PCR,Microbiology,Stool,advanced method of Molecular detection of SARS-CoV-2,48 hours,No,Lab-specific,Basic
7,Extended PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),extended method of Prostate cancer screening marker,1 hour,12 hours,See report,Standard
8,HSG (Hysterosalpingography),Radiology,—,Uterine and fallopian tube patency assessment,6 hours,8 hours,Lab-specific,Specialized
9,Confirmatory Serum Calcium,Biochemistry,Blood (Plain),confirmatory method of Measures total calcium for bone and parathyroid assessment,24 hours,12 hours,See report,Standard
10,ERCP,Endoscopy,—,Biliary and pancreatic duct evaluation,Same day,No,See report,Specialized
11,Advanced Fine Needle Aspiration Cytology (FNAC),Pathology,Blood (EDTA),advanced method of Cytological examination of nodules/masses,6 hours,No,Age/sex dependent,Standard
12,Fluorescent CPK/CK (Creatine Kinase),Biochemistry,Blood (Plain),fluorescent method of Muscle/heart enzyme marker for MI and myopathy,72 hours,12 hours,Age/sex dependent,Advanced
13,Confirmatory Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),confirmatory method of Measures blood sugar after 8-hour fast,48 hours,No,Standardized,Advanced
14,Confirmatory Endometrial Biopsy,Pathology,Sputum,confirmatory method of Uterine pathology assessment,Same day,No,See report,Basic
15,Digital MRI Spine,Radiology,—,digital method of Spinal cord and disc herniation assessment,1 hour,Yes,See report,Basic
16,Qualitative Serum Lipase,Biochemistry,Blood (Plain),qualitative method of More specific pancreatic enzyme than amylase,Same day,Yes,Age/sex dependent,Advanced
17,High-Sensitivity Upper GI Endoscopy (OGD Scope),Endoscopy,—,"high-sensitivity method of Visualization of esophagus, stomach, duodenum",48 hours,No,See report,Basic
18,Advanced Bronchoscopy,Endoscopy,—,advanced method of Airway visualization and bronchial biopsy,24 hours,No,Lab-specific,Advanced
19,Automated Troponin I/T,Biochemistry,Blood (Plain),automated method of High-sensitivity cardiac marker for acute MI,24 hours,Yes,Age/sex dependent,Advanced
20,Confirmatory MRI Brain,Radiology,—,"confirmatory method of Detailed CNS imaging for tumors, MS, stroke",1 hour,8 hours,See report,Basic
21,Fluorescent CA-125,Biochemistry,Blood (Plain),fluorescent method of Ovarian cancer biomarker,Same day,No,Age/sex dependent,Advanced
22,Fluorescent CD4 Count (T-Cell),Immunology,Blood (EDTA),fluorescent method of HIV disease progression monitoring,6 hours,Yes,See report,Advanced
23,Quantitative Liver Function Tests,Biochemistry,Blood (Plain),"quantitative method of Panel measuring bilirubin, albumin, liver enzymes",4 hours,Yes,See report,Basic
24,Conventional Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),conventional method of Measures blood sugar after 8-hour fast,6 hours,12 hours,Age/sex dependent,Specialized
25,Advanced Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),advanced method of Syphilis activity monitoring test,1 hour,12 hours,See report,Standard
