id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
1,Mild Vertigo,H81.3.X,ENT,"Mild Vertigo (ICD-10: H81.3.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Common
2,Chronic Endometriosis,N80.X,Gynecology,"Chronic Endometriosis (ICD-10: N80.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
3,Primary Autism Spectrum Disorder,F84.X,Pediatrics,"Primary Autism Spectrum Disorder (ICD-10: F84.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Very Common
4,Malaria,B54,Infectious Disease,"Malaria (ICD-10: B54) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Uncommon
5,Late-Onset HIV/AIDS,B20.X,Infectious Disease,"Late-Onset HIV/AIDS (ICD-10: B20.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
6,Acute Pre-eclampsia,O14.X,Obstetrics,"Acute Pre-eclampsia (ICD-10: O14.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
7,Moderate Attention Deficit Hyperactivity Disorder,F90.X,Psychiatry,"Moderate Attention Deficit Hyperactivity Disorder (ICD-10: F90.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Common
8,Post-Operative Breast Cancer,C50.X,Oncology,"Post-Operative Breast Cancer (ICD-10: C50.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Rare
9,Mild Irritable Bowel Syndrome,K58.X,Gastroenterology,"Mild Irritable Bowel Syndrome (ICD-10: K58.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Common
10,Recurrent Hepatitis C,B17.1.X,Hepatology,"Recurrent Hepatitis C (ICD-10: B17.1.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Uncommon
11,Fibromyalgia,M79.7,Rheumatology,"Fibromyalgia (ICD-10: M79.7) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
12,Severe Acute Gastroenteritis,A09.X,Pediatrics,"Severe Acute Gastroenteritis (ICD-10: A09.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Common
13,Recurrent Ventricular Tachycardia,I47.2.X,Cardiology,"Recurrent Ventricular Tachycardia (ICD-10: I47.2.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Common
14,Recurrent Schizophrenia,F20.X,Psychiatry,"Recurrent Schizophrenia (ICD-10: F20.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
15,Chronic Atrioventricular Block,I44.X,Cardiology,"Chronic Atrioventricular Block (ICD-10: I44.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Uncommon
16,Post-Operative Attention Deficit Hyperactivity Disorder,F90.X,Psychiatry,"Post-Operative Attention Deficit Hyperactivity Disorder (ICD-10: F90.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Very Common
